date_time, pid, event, elapsed_time, mem_used, max_mem_used, key, value
2023-05-02 20:41:15, 40872, block_size, , 97.3, 3640820, list, "list(col = 1, row = 1, ncols = 1830, nrows = 1024)"
2023-05-02 20:41:15, 40872, start_block_data_read, 0.005469, 97.7, 3773769, band, B02
2023-05-02 20:41:15, 40872, end_block_data_read, 0.06633, 104.9, 7460861, band, B02
2023-05-02 20:41:15, 40872, start_block_data_process, 1.812e-05, 104.9, 7460861, band, B02
2023-05-02 20:41:15, 40872, end_block_data_process, 0.03449, 112.1, 9336847, band, B02
2023-05-02 20:41:16, 40872, start_block_data_read, 0.01582, 112.1, 9336847, band, B03
2023-05-02 20:41:16, 40872, end_block_data_read, 0.07212, 119.4, 9607115, band, B03
2023-05-02 20:41:16, 40872, start_block_data_process, 1.979e-05, 119.4, 9607115, band, B03
2023-05-02 20:41:16, 40872, end_block_data_process, 0.03108, 126.5, 11387325, band, B03
2023-05-02 20:41:16, 40872, start_block_data_read, 0.01314, 126.5, 11387325, band, B04
2023-05-02 20:41:16, 40872, end_block_data_read, 0.05116, 133.7, 11389170, band, B04
2023-05-02 20:41:16, 40872, start_block_data_process, 2.003e-05, 133.7, 11389170, band, B04
2023-05-02 20:41:17, 40872, end_block_data_process, 0.02724, 140.8, 13261249, band, B04
2023-05-02 20:41:17, 40872, start_block_data_read, 0.01167, 140.8, 13261249, band, B8A
2023-05-02 20:41:17, 40872, end_block_data_read, 0.05051, 148, 13263093, band, B8A
2023-05-02 20:41:17, 40872, start_block_data_process, 1.693e-05, 148, 13263093, band, B8A
2023-05-02 20:41:17, 40872, end_block_data_process, 0.01902, 155.1, 18883515, band, B8A
2023-05-02 20:41:17, 40872, start_block_data_read, 0.01385, 155.1, 18883515, band, B11
2023-05-02 20:41:17, 40872, end_block_data_read, 0.05418, 162.3, 18883515, band, B11
2023-05-02 20:41:18, 40872, start_block_data_process, 1.693e-05, 162.3, 18883515, band, B11
2023-05-02 20:41:18, 40872, end_block_data_process, 0.0281, 169.4, 18883515, band, B11
2023-05-02 20:41:18, 40872, start_block_data_read, 0.01171, 169.4, 18883515, band, B12
